"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.279214208E0,-1.221746840E-1,-7.927742690E-2,-2.116867483E-1,2.569491063E-1
1.289165208E0,5.221062910E-2,-6.796920419E-2,-2.294149214E-1,2.449019573E-1
1.299117208E0,9.744870935E-2,-9.896617144E-2,-2.475722802E-1,2.838707240E-1
1.309069208E0,4.058077298E-2,-3.863021493E-2,-9.837881863E-2,1.132143303E-1
1.319020208E0,-1.074027535E-2,2.909896106E-2,6.383463800E-2,7.097157218E-2
1.328972208E0,-1.024687998E-2,-1.587665230E-2,9.335138261E-2,9.524467058E-2
1.338923208E0,3.393552203E-2,-7.729609787E-2,1.149527514E-1,1.426199196E-1
1.348875208E0,-1.706838794E-3,-1.767759472E-2,4.335301101E-2,4.684969816E-2
1.358827208E0,-1.183604356E-2,2.227935344E-2,2.468928337E-2,3.529904007E-2
1.368778208E0,6.250973202E-2,9.583849579E-2,7.587171614E-2,1.372916647E-1
1.378730208E0,1.980139846E-1,1.820618302E-1,8.545179427E-2,2.822375901E-1
1.388681208E0,2.878542239E-1,2.747533545E-1,6.547945976E-2,4.032828036E-1
1.398633208E0,2.344612878E-1,3.280001467E-1,5.353301346E-2,4.067210042E-1
1.408584208E0,1.516085078E-1,3.226733333E-1,4.209819853E-2,3.589923091E-1
1.418536208E0,1.601861173E-1,2.311030126E-1,1.782582164E-2,2.817551322E-1
1.428488208E0,1.952611521E-1,1.780599958E-1,1.279113507E-1,2.935874542E-1
1.438439208E0,2.610013976E-1,2.263372394E-1,3.574022859E-1,4.970781322E-1
1.448391208E0,2.932195193E-1,3.155403149E-1,5.449148905E-1,6.946046464E-1
1.458342208E0,3.200195014E-1,3.878887913E-1,5.947477859E-1,7.788421692E-1
1.468294208E0,4.362850258E-1,3.905200383E-1,3.893812931E-1,7.031844107E-1
1.478246208E0,5.471734507E-1,3.727772471E-1,1.606469876E-1,6.812995785E-1
