"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.256304208E0,1.867351734E0,-1.617847826E0,-1.317633795E0,2.800105874E0
1.266255208E0,2.386589308E0,-1.182565598E0,-1.535362471E0,3.074346733E0
1.276207208E0,2.558534870E0,-7.012901947E-1,-1.570843375E0,3.083092203E0
1.286158208E0,2.377010253E0,-4.034485245E-1,-1.552740396E0,2.867743223E0
1.296109208E0,1.820511590E0,-2.293020701E-1,-1.606445317E0,2.438751411E0
1.306061208E0,1.074962431E0,-6.443587795E-2,-1.712964630E0,2.023349706E0
1.316012208E0,5.515764040E-1,5.968428433E-2,-1.880649911E0,1.960776078E0
1.325964208E0,3.651563152E-1,-5.389524847E-2,-2.341883544E0,2.370793615E0
1.335915208E0,3.150188529E-1,-2.287781596E-1,-2.830433614E0,2.857084312E0
1.345867208E0,2.305145451E-1,-2.649243312E-1,-3.166514028E0,3.185927329E0
1.355818208E0,2.100521409E-1,-2.044630980E-1,-3.301271884E0,3.314260568E0
1.365769208E0,3.981218937E-1,-1.525140953E-1,-3.117232525E0,3.146251771E0
1.375721208E0,8.167652486E-1,1.382691085E-2,-2.718672273E0,2.838745424E0
1.385672208E0,1.112676022E0,2.994037539E-1,-2.412459437E0,2.673509131E0
1.395624208E0,1.190875222E0,5.497423518E-1,-2.104434548E0,2.479726843E0
1.405575208E0,1.102294729E0,7.147303122E-1,-1.879986252E0,2.293521614E0
1.415526208E0,8.836685785E-1,7.194465302E-1,-1.914781278E0,2.228196762E0
1.425478208E0,5.079407533E-1,6.137279941E-1,-2.165946672E0,2.307810834E0
1.435429208E0,1.223666919E-1,4.297349748E-1,-2.415939699E0,2.456910741E0
1.445381208E0,-3.646019991E-1,4.496067372E-1,-2.465598933E0,2.532638729E0
1.455332208E0,-8.931862376E-1,6.680652921E-1,-2.255869247E0,2.516552990E0
1.465283208E0,-1.272114244E0,8.546803491E-1,-1.871639351E0,2.419046715E0
1.475235208E0,-1.529860387E0,1.069718283E0,-1.305006148E0,2.277676679E0
1.485186208E0,-1.760599410E0,1.457953083E0,-7.934543002E-1,2.419691551E0
1.495138208E0,-1.669664243E0,1.726570223E0,-3.896941191E-1,2.433245760E0
1.505089208E0,-1.063102158E0,1.781777441E0,9.734327674E-2,2.077111639E0
1.515040208E0,-3.142538544E-1,1.883682423E0,7.197320205E-1,2.040840302E0
1.524992208E0,2.826263380E-1,2.090329894E0,1.448030797E0,2.558544489E0
1.534943208E0,5.253921704E-1,2.240014961E0,2.307745160E0,3.258740812E0
1.544895208E0,4.215187597E-1,1.989432534E0,2.819641993E0,3.476478224E0
1.554846208E0,1.127185851E-1,1.531336809E0,3.112329635E0,3.470488965E0
1.564797208E0,-3.551550548E-1,1.180464547E0,3.247323133E0,3.473433344E0
1.574749208E0,-8.644529468E-1,9.726017319E-1,3.094642977E0,3.357089242E0
1.584700208E0,-1.170377004E0,7.387237769E-1,2.755204507E0,3.083285103E0
1.594652208E0,-1.361786997E0,5.297761568E-1,2.212128566E0,2.651158123E0
1.604603208E0,-1.666888570E0,5.023503765E-1,2.079861624E0,2.712323318E0
1.614554958E0,-1.956179272E0,6.484638172E-1,2.097764044E0,2.940706829E0
1.624505958E0,-2.142014749E0,6.891350028E-1,1.712931300E0,2.827944108E0
1.634456958E0,-2.034613677E0,5.333923674E-1,1.224708674E0,2.433941570E0
1.644408958E0,-1.896558284E0,5.118554641E-1,7.474074769E-1,2.101796203E0
1.654359958E0,-1.580877782E0,3.951033783E-1,2.596900499E-1,1.650066715E0
1.664310958E0,-1.145606371E0,1.808596426E-1,1.201702219E-1,1.166003881E0
1.674262958E0,-7.266951773E-1,4.592914805E-2,7.600444794E-1,1.052550701E0
1.684213958E0,-2.309329865E-1,-2.913229018E-2,1.658345203E0,1.674600713E0
1.694165958E0,5.075748637E-4,-2.592838146E-1,2.469414825E0,2.482989717E0
1.704116958E0,4.644748544E-2,-5.802751963E-1,2.972656025E0,3.029118769E0
1.714068958E0,-6.937653763E-2,-8.846520071E-1,3.204334404E0,3.324933270E0
1.724019958E0,-5.098427794E-1,-1.027215311E0,2.891617709E0,3.110717591E0
1.733970958E0,-1.045672778E0,-1.201189784E0,2.093663392E0,2.630535089E0
1.743922958E0,-1.492283109E0,-1.496287575E0,1.074543405E0,2.370744380E0
1.753873958E0,-1.848903476E0,-1.685663687E0,7.077352881E-2,2.502981227E0
1.763825958E0,-2.112168953E0,-1.562329976E0,-6.365395904E-1,2.703204633E0
1.773776958E0,-2.228241738E0,-1.241853295E0,-1.112622228E0,2.783017979E0
1.783727958E0,-2.234622074E0,-9.337145318E-1,-1.479188270E0,2.837843649E0
1.793679958E0,-2.128483269E0,-7.468398584E-1,-1.712037846E0,2.831834103E0
1.803630958E0,-1.938570382E0,-6.124860455E-1,-1.880200844E0,2.769178488E0
1.813582958E0,-1.649736786E0,-5.739278975E-1,-2.027210371E0,2.675930975E0
1.823533958E0,-1.216191181E0,-6.158793309E-1,-2.276052082E0,2.653081495E0
1.833484958E0,-7.401102979E-1,-6.590848459E-1,-2.564916229E0,2.749718413E0
1.843436958E0,-2.448426537E-1,-6.549651901E-1,-2.769780446E0,2.856678324E0
1.853387958E0,2.119245107E-1,-5.440983269E-1,-2.714321360E0,2.776417734E0
1.863339958E0,6.103155956E-1,-4.340455422E-1,-2.321335258E0,2.439155190E0
1.873290958E0,8.651057884E-1,-4.944446486E-1,-1.765608866E0,2.027377174E0
1.883241958E0,7.289408004E-1,-4.998648714E-1,-1.286554674E0,1.560910795E0
1.893193958E0,3.906155306E-1,-4.724700813E-1,-9.383453804E-1,1.120848127E0
1.903144958E0,-1.511594051E-1,-3.292473578E-1,-7.729913843E-1,8.536794882E-1
1.913096958E0,-8.949727082E-1,-9.297145978E-2,-8.384585649E-1,1.229891298E0
1.923047958E0,-1.213274224E0,2.186347023E-2,-8.954969841E-1,1.508120421E0
1.932998958E0,-9.440410070E-1,1.782001828E-1,-9.038988483E-1,1.319091299E0
1.942950958E0,-2.190409376E-1,4.350731903E-1,-7.143350405E-1,8.646052066E-1
1.952901958E0,4.620690541E-1,7.951195872E-1,-3.255782300E-1,9.755635051E-1
1.962853958E0,9.340337898E-1,1.098483806E0,3.170921659E-1,1.476358099E0
1.972804958E0,1.235207057E0,1.300565334E0,1.120152857E0,2.114698343E0
1.982755958E0,1.489947585E0,1.412336761E0,1.987683193E0,2.857537998E0
1.992707958E0,1.715226917E0,1.271572646E0,2.874370177E0,3.580629035E0
2.002658958E0,1.655285063E0,9.346268436E-1,3.427508007E0,3.919350344E0
2.012610958E0,1.334920064E0,6.698323207E-1,3.494463889E0,3.800258516E0
2.022561958E0,8.549255667E-1,3.521535328E-1,3.175556163E0,3.307426005E0
2.032512958E0,3.225783891E-1,-4.724404067E-3,2.653445413E0,2.672985540E0
2.042464958E0,-1.952516869E-1,-2.369025734E-1,2.085754448E0,2.108226190E0
2.052415958E0,-4.832263999E-1,-4.569254047E-1,1.665700416E0,1.793556928E0
2.062367958E0,-3.162058742E-1,-7.176521659E-1,1.683861283E0,1.857525129E0
2.072318958E0,1.186025834E-1,-8.816088237E-1,2.061887283E0,2.245591205E0
2.082269958E0,5.364715842E-1,-1.048249061E0,2.305305701E0,2.588641001E0
2.092221958E0,8.618529093E-1,-1.235827447E0,2.027772873E0,2.526246769E0
2.102172958E0,1.002990589E0,-1.345013528E0,1.470215718E0,2.230826252E0
