"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.351744958E0,-3.895747774E0,-6.103228973E0,5.077856559E-1,7.258381424E0
1.361696958E0,-3.931968936E0,-6.441893857E0,3.522291081E-1,7.555292286E0
1.371647958E0,-3.724114453E0,-6.848034439E0,2.045763879E-1,7.797849424E0
1.381599958E0,-3.342013528E0,-7.328471498E0,1.031752896E-1,8.055196711E0
1.391551958E0,-3.093047272E0,-7.638369834E0,5.261149228E-2,8.241019544E0
1.401503958E0,-3.035168608E0,-7.824899522E0,9.352811471E-2,8.393452717E0
1.411455958E0,-2.997399103E0,-8.036707892E0,1.738640338E-1,8.579236786E0
1.421406958E0,-3.063351603E0,-8.320997179E0,3.090756333E-1,8.872352835E0
1.431358958E0,-3.386855825E0,-8.350040299E0,4.617559357E-1,9.022592971E0
1.441310958E0,-3.895630830E0,-7.828110813E0,6.149205337E-1,8.765465517E0
1.451262958E0,-4.425387399E0,-6.881008058E0,8.977246271E-1,8.230324114E0
1.461213958E0,-4.815483806E0,-5.549738556E0,1.324161626E0,7.466048911E0
1.471165958E0,-5.175380514E0,-3.988977827E0,1.665264652E0,6.743116040E0
1.481117958E0,-5.402110394E0,-2.615442604E0,1.937414680E0,6.306894035E0
1.491069958E0,-5.456139252E0,-1.649163905E0,2.072778307E0,6.065113934E0
1.501021958E0,-5.220700529E0,-1.081910312E0,2.039770921E0,5.708494490E0
1.510972958E0,-4.726866914E0,-8.483891836E-1,1.762744754E0,5.115691947E0
1.520924958E0,-4.141686927E0,-9.416753697E-1,1.203204807E0,4.414524313E0
1.530876958E0,-3.691188197E0,-1.231620083E0,4.309187436E-1,3.915028646E0
1.540828958E0,-3.497414394E0,-1.626742172E0,-3.369172968E-1,3.871913068E0
1.550780958E0,-3.508273258E0,-2.062616723E0,-1.084112958E0,4.211611320E0
1.560731958E0,-3.478011578E0,-2.473068458E0,-1.648046649E0,4.574788508E0
1.570683958E0,-3.387318925E0,-2.762711747E0,-2.025437495E0,4.817561909E0
1.580635958E0,-3.253428796E0,-3.070763825E0,-2.175260263E0,4.974549891E0
1.590587958E0,-3.047538977E0,-3.320033552E0,-2.195623630E0,5.013070888E0
1.600539958E0,-2.884690513E0,-3.382273362E0,-1.985632575E0,4.868670165E0
1.610490958E0,-2.655694837E0,-3.305936208E0,-1.458890976E0,4.484450040E0
1.620442958E0,-2.331694770E0,-3.092401739E0,-8.652711184E-1,3.968430814E0
1.630394958E0,-2.148068225E0,-2.824288775E0,-5.522637442E-1,3.591072184E0
1.640346958E0,-2.101918491E0,-2.538174573E0,-5.804688853E-1,3.346242017E0
1.650297958E0,-1.874555358E0,-2.102717221E0,-6.029829314E-1,2.880792585E0
1.660249958E0,-1.528491992E0,-1.606403217E0,-4.285137838E-1,2.258416067E0
1.670201958E0,-1.231600202E0,-1.140920997E0,-1.544893578E-1,1.685943873E0
1.680153958E0,-9.613214296E-1,-7.621734506E-1,1.912138921E-1,1.241615888E0
1.690105958E0,-7.348447341E-1,-4.209071410E-1,5.041480665E-1,9.855581553E-1
1.700056958E0,-5.523016781E-1,-1.441163242E-1,7.110974371E-1,9.118476976E-1
1.710008958E0,-4.418255550E-1,1.030712092E-1,8.639366376E-1,9.758176105E-1
1.719960958E0,-3.652381396E-1,3.070220912E-1,9.776339187E-1,1.087855479E0
1.729912958E0,-3.247602046E-1,5.148707271E-1,1.084531619E0,1.243692039E0
1.739864958E0,-2.878841543E-1,6.228892654E-1,1.117247960E0,1.311148858E0
1.749815958E0,-1.815922987E-1,6.621667671E-1,1.124811918E0,1.317817302E0
1.759767958E0,3.274440765E-2,7.076084036E-1,8.819098822E-1,1.131170584E0
1.769719958E0,2.765832406E-1,7.004198366E-1,4.585351431E-1,8.816692770E-1
1.779671958E0,4.817690545E-1,8.097633541E-1,2.325861588E-2,9.425280233E-1
1.789622958E0,8.698236144E-1,1.131884125E0,-3.431824422E-1,1.468171987E0
1.799574958E0,1.427797676E0,1.373589894E0,-8.878459024E-1,2.171088609E0
1.809526958E0,1.804567695E0,1.407901940E0,-1.157048057E0,2.564646690E0
1.819478958E0,2.065985012E0,1.581294104E0,-1.253017384E0,2.887704569E0
1.829430958E0,2.104417591E0,1.744184668E0,-1.255559168E0,3.007853450E0
1.839381958E0,2.013575833E0,1.868698202E0,-1.133024333E0,2.971576138E0
1.849333958E0,1.833004459E0,1.956988235E0,-9.156998451E-1,2.833410401E0
1.859285958E0,1.677338129E0,2.087090537E0,-4.968156946E-1,2.723276692E0
1.869237958E0,1.693740154E0,2.289065645E0,-1.224173069E-2,2.847582676E0
1.879189958E0,1.801741735E0,2.400508313E0,2.214562762E-1,3.009610660E0
1.889140958E0,2.011196601E0,2.277829050E0,4.139742436E-1,3.066723272E0
1.899092958E0,2.330608358E0,1.989295270E0,4.246417576E-1,3.093436861E0
1.909044958E0,2.836296033E0,1.446967773E0,2.930520697E-1,3.197525674E0
1.918996958E0,3.305781257E0,9.687520713E-1,2.187548625E-1,3.451742166E0
1.928947958E0,3.800413601E0,4.817275393E-1,-2.982079983E-5,3.830823013E0
1.938899958E0,4.173436723E0,-7.567466497E-3,-2.314873208E-1,4.179858578E0
1.948851958E0,4.343473170E0,-2.837209368E-1,-3.338130100E-1,4.365511181E0
1.958803958E0,4.462123700E0,-4.923647940E-1,-3.263735975E-1,4.501054402E0
1.968755958E0,4.749150653E0,-6.809170336E-1,-2.300205468E-1,4.803226976E0
1.978706958E0,5.402668219E0,-9.384225637E-1,-1.240732384E-1,5.484966268E0
1.988658958E0,6.005437800E0,-1.274087825E0,-1.010827173E-1,6.139934908E0
1.998610958E0,6.363845807E0,-1.430061718E0,8.569255337E-2,6.523109165E0
2.008562958E0,6.644435560E0,-1.605124431E0,3.498383278E-1,6.844511319E0
2.018513958E0,6.944719319E0,-1.960625203E0,6.503553915E-1,7.245421985E0
2.028465958E0,7.106288413E0,-2.237001452E0,8.869271587E-1,7.502676208E0
2.038417958E0,7.088283082E0,-2.091174232E0,1.099161353E0,7.471607752E0
2.048369958E0,6.897619997E0,-1.424177080E0,1.382144955E0,7.177448478E0
2.058321958E0,6.563027700E0,-3.304302496E-1,1.519521194E0,6.744735828E0
2.068269708E0,6.082107661E0,1.022568675E0,1.313063757E0,6.305697164E0
2.078221708E0,5.750157720E0,2.437312442E0,8.902366827E-1,6.308512273E0
2.088173708E0,5.499478229E0,3.668548363E0,5.169038039E-1,6.630965045E0
2.098125708E0,5.377990630E0,4.540280508E0,3.028634052E-1,7.044760929E0
2.108077708E0,5.202558957E0,4.931827610E0,1.855618273E-1,7.171051281E0
2.118028708E0,4.813784313E0,4.882106981E0,1.791784219E-1,6.858541601E0
2.127980708E0,4.333918235E0,4.502648998E0,2.323239112E-1,6.253852386E0
2.137932708E0,3.864293847E0,3.915030722E0,2.245944768E-1,5.505513161E0
2.147884708E0,3.433555782E0,3.240796471E0,1.376088117E-1,4.723452473E0
