"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
8.183693333E-1,2.759638012E-1,2.755792737E-3,-2.045695758E0,2.064227398E0
8.283203333E-1,-5.271951959E-2,-3.432075852E-1,-2.697175570E0,2.719435024E0
8.382723333E-1,-4.918852492E-1,-3.865816462E-1,-3.101768394E0,3.164231919E0
8.482243333E-1,-8.153541693E-1,-2.202380088E-1,-3.459626178E0,3.561224578E0
8.581753334E-1,-1.110150317E0,-2.452389488E-1,-4.050452237E0,4.206986949E0
8.681273333E-1,-1.347233862E0,-6.179471987E-1,-4.524098924E0,4.760710965E0
8.780793333E-1,-1.587059166E0,-7.874018472E-1,-4.962986838E0,5.269724548E0
8.880313333E-1,-1.590546592E0,-1.613714576E-1,-5.297354017E0,5.533338847E0
8.979823333E-1,-1.446546627E0,7.885403001E-1,-5.193912680E0,5.448946859E0
9.079343333E-1,-1.744155871E0,1.196112866E0,-5.069013230E0,5.492509518E0
9.178863334E-1,-2.259946511E0,1.561006604E0,-4.311422827E0,5.111992434E0
9.278383334E-1,-2.586719912E0,2.037888264E0,-3.066167037E0,4.499498725E0
9.377893333E-1,-2.797703532E0,2.272576204E0,-1.450297177E0,3.885242536E0
9.477413333E-1,-3.144175033E0,2.515380080E0,1.063930709E0,4.164723537E0
9.576933333E-1,-3.234625905E0,2.702851754E0,4.296416532E0,6.018920781E0
9.676443333E-1,-3.298828917E0,2.991194915E0,7.350680392E0,8.594301686E0
9.775963333E-1,-3.645415024E0,3.548721080E0,1.005592804E1,1.126961227E1
9.875483334E-1,-3.870177900E0,4.121531575E0,1.251824318E1,1.373578217E1
9.975003334E-1,-4.077700846E0,4.684019102E0,1.435453085E1,1.564033999E1
1.007451333E0,-4.237479230E0,5.087005112E0,1.545881963E1,1.681692467E1
1.017403333E0,-4.112041836E0,5.155528632E0,1.521184493E1,1.657976447E1
1.027358875E0,-3.756364479E0,4.872568126E0,1.402168862E1,1.531208497E1
1.037310875E0,-3.322062536E0,4.748573240E0,1.238173525E1,1.367086007E1
1.047261875E0,-2.702261185E0,4.804756212E0,1.062786993E1,1.197244825E1
1.057213875E0,-2.244186218E0,5.195831151E0,8.260864413E0,1.001373626E1
1.067165875E0,-1.917247341E0,5.739237460E0,6.061944707E0,8.565153683E0
1.077116875E0,-1.628216840E0,5.855790009E0,4.495033000E0,7.559542868E0
1.087068875E0,-1.696072901E0,3.835199271E0,3.208675377E0,5.280247571E0
1.097020875E0,-1.398138260E0,3.037967670E0,2.296327887E0,4.056742526E0
1.106972875E0,-7.415790454E-1,2.970296966E0,1.729778883E0,3.516353016E0
1.116923875E0,-3.848766712E-1,2.575009108E0,8.578046626E-1,2.741282692E0
1.126875875E0,-2.117466091E-1,1.671746437E0,1.805187500E-1,1.694744758E0
1.136827875E0,2.394610957E-1,1.012590986E0,-6.590513706E-2,1.042605202E0
1.146779875E0,4.246699704E-1,1.183339331E0,-5.855267268E-1,1.386895131E0
1.156730875E0,6.473473645E-1,7.793198258E-1,-1.326805152E0,1.669374108E0
1.166682875E0,9.755884165E-1,-2.854318321E-2,-2.478068705E0,2.663346011E0
1.176634875E0,1.113948669E0,7.408930939E-1,-4.249752828E0,4.455356699E0
1.186585875E0,1.350607413E0,1.008091553E0,-5.817448062E0,6.056656745E0
1.196537875E0,1.735560025E0,2.916257876E-1,-7.037136317E0,7.253861161E0
1.206489875E0,1.909523315E0,-5.439232028E-1,-8.019502460E0,8.261631283E0
1.216441875E0,1.939848145E0,-9.828108242E-1,-8.234884064E0,8.517173445E0
1.226392875E0,2.137586068E0,-1.461254567E0,-8.485234941E0,8.871513463E0
1.236344875E0,2.262610064E0,-2.664405726E0,-8.960145212E0,9.617830545E0
1.246296875E0,1.828688482E0,-3.990689307E0,-9.708167231E0,1.065449265E1
1.256247875E0,9.505958088E-1,-4.956228626E0,-1.051989291E1,1.166773249E1
1.266199875E0,-2.219907848E-1,-5.509399785E0,-1.141659851E1,1.267838663E1
1.276151875E0,-9.931898513E-1,-5.339879063E0,-1.209199285E1,1.325582987E1
1.286103875E0,-1.037771728E0,-4.821561402E0,-1.205803456E1,1.302768675E1
1.296054875E0,-3.249457806E-1,-4.364582495E0,-1.100217009E1,1.184073126E1
1.306006875E0,-1.093824014E-2,-3.022344787E0,-9.417236093E0,9.890350008E0
1.315958875E0,5.982741686E-1,-1.552534281E0,-7.532574992E0,7.714141604E0
1.325910875E0,1.503515903E0,-1.184952578E0,-5.314913791E0,5.649157573E0
1.335861875E0,2.273210919E0,-1.532438278E-1,-2.755776950E0,3.575650731E0
1.345813875E0,2.326976214E0,1.777565838E0,3.130973482E-1,2.944925900E0
1.355765875E0,1.522668166E0,2.151570123E0,3.407823941E0,4.308252122E0
1.365716875E0,1.370318816E0,1.116188152E0,6.710154755E0,6.939007601E0
1.375668875E0,1.661588069E0,6.087501132E-1,1.007582261E1,1.023003680E1
1.385620875E0,1.205919597E0,6.774554819E-1,1.245050202E1,1.252709817E1
1.395572875E0,1.149083637E0,1.170305887E0,1.339530682E1,1.349534193E1
1.405523875E0,1.281369071E0,1.080494701E0,1.298556669E1,1.309329285E1
1.415475875E0,1.410904924E0,1.002228258E0,1.178753886E1,1.191390727E1
1.425427875E0,1.556307197E0,1.574209910E0,1.067505112E1,1.090215324E1
1.435378875E0,1.780063622E0,1.886256806E0,9.998256955E0,1.032916906E1
1.445330875E0,1.883705081E0,1.466580504E0,9.332632729E0,9.633132246E0
1.455282875E0,1.190042433E0,1.236394627E0,8.078047122E0,8.258312054E0
1.465234875E0,7.602118559E-2,1.262386085E0,6.112713742E0,6.242168464E0
